precision,recall,threshold
0.8967530917921867,1.0,5.4413361837146734e-12
0.8967656802740187,1.0,6.835151802192518e-12
0.8967782691092862,1.0,8.512490191903144e-12
0.8967908582980038,1.0,1.1054243458097357e-11
0.8968034478401864,1.0,1.4255193379886233e-11
0.8968160377358491,1.0,1.85013636355702e-11
0.8968286279850065,1.0,1.8908923038463143e-11
0.8968412185876737,1.0,2.5161539518592235e-11
0.8968538095438655,1.0,2.9657155203866026e-11
0.8968664008535969,1.0,4.0238250231805495e-11
0.8968789925168826,1.0,5.1727087890807155e-11
0.8968915845337376,1.0,7.19338408283754e-11
0.8969041769041769,1.0,7.899392945320827e-11
0.8969167696282152,1.0,8.642324356156195e-11
0.8969293627058675,1.0,8.728034267546647e-11
0.8969419561371487,1.0,8.743664126065198e-11
0.8969545499220736,1.0,9.372284198727598e-11
0.8969671440606571,1.0,1.0191736343756475e-10
0.8969797385529142,1.0,1.0299234382005196e-10
0.8969923333988599,1.0,1.0461721766663601e-10
0.8970049285985088,1.0,1.0686594664743865e-10
0.8970034823635138,0.9999843461381923,1.1118171661106402e-10
0.8970160780734396,0.9999843461381923,1.1354035073241064e-10
0.8970286741371079,0.9999843461381923,1.1388519988164703e-10
0.8970412705545335,0.9999843461381923,1.2126555315461474e-10
0.8970538673257317,0.9999843461381923,1.2274274652224193e-10
0.8970664644507169,0.9999843461381923,1.3221829187060052e-10
0.8970790619295043,0.9999843461381923,1.3384013342054857e-10
0.8970916597621087,0.9999843461381923,1.3823045486027752e-10
0.8971042579485451,0.9999843461381923,1.4125986491642095e-10
0.8971168564888283,0.9999843461381923,1.4210463361585823e-10
0.8971294553829734,0.9999843461381923,1.4563389383326353e-10
0.8971420546309951,0.9999843461381923,1.4667313197325171e-10
0.8971546542329083,0.9999843461381923,1.5055143243181135e-10
0.897167254188728,0.9999843461381923,1.522235532069871e-10
0.8971798544984692,0.9999843461381923,1.7157607279383313e-10
0.8971924551621466,0.9999843461381923,1.754911910234469e-10
0.8972050561797753,0.9999843461381923,1.8610983587574736e-10
0.8972176575513701,0.9999843461381923,1.903021351612466e-10
0.897230259276946,0.9999843461381923,2.0303626835360689e-10
