bin,count,mean_score,synthetic_fraction
0,11559,0.011846238058187256,0.40730166969461024
1,1366,0.1453057422001313,0.8909224011713031
2,1013,0.24847669708234538,0.9368213228035538
3,857,0.3493075279329872,0.9474912485414235
4,843,0.45048804628891453,0.9620403321470937
5,911,0.55057505214777,0.9659714599341384
6,1008,0.6506324927248652,0.9712301587301587
7,1345,0.7543098227685269,0.9858736059479554
8,2158,0.855139910456646,0.9851714550509731
9,50177,0.9933998608136825,0.9979472666759671
