fpr,tpr,threshold
0.0,0.0,inf
0.00013596193065941537,0.1079333771641464,1.0
0.00027192386131883074,0.13086628471243855,0.9999998807907104
0.00027192386131883074,0.1427319119626812,0.9999997615814209
0.00027192386131883074,0.1512319589242666,0.9999996423721313
0.00027192386131883074,0.15785354246892708,0.9999995231628418
0.00027192386131883074,0.16334804796343258,0.9999994039535522
0.00027192386131883074,0.16859209166901476,0.9999992847442627
0.00027192386131883074,0.17374221220375066,0.9999991655349731
0.00027192386131883074,0.17785917785917785,0.9999990463256836
0.00027192386131883074,0.1814752199367584,0.999998927116394
0.00027192386131883074,0.1844337998184152,0.9999988079071045
0.0004078857919782461,0.18726714880561035,0.9999986886978149
0.0004078857919782461,0.18989699758930528,0.9999985694885254
0.0004078857919782461,0.19274600043830814,0.9999984502792358
0.0004078857919782461,0.19542281080742618,0.9999983310699463
0.0004078857919782461,0.19770827463135154,0.9999982118606567
0.0004078857919782461,0.19993112300804608,0.9999980926513672
0.0004078857919782461,0.201919163457625,0.9999979734420776
0.0004078857919782461,0.20414201183431951,0.9999978542327881
0.0004078857919782461,0.20598916752762905,0.9999977350234985
0.0004078857919782461,0.2080398234244388,0.999997615814209
0.0004078857919782461,0.2101844024920948,0.9999974966049194
0.0004078857919782461,0.2117497886728656,0.9999973773956299
0.0004078857919782461,0.21361259822798284,0.9999972581863403
0.0004078857919782461,0.21525625371779217,0.9999971389770508
0.0004078857919782461,0.21677467831313985,0.9999970197677612
0.0004078857919782461,0.21829310290848752,0.9999969005584717
0.0004078857919782461,0.21992110453648916,0.9999967813491821
0.0004078857919782461,0.22143952913183682,0.9999966621398926
0.0004078857919782461,0.22302056917441532,0.999996542930603
0.0004078857919782461,0.22410068563914717,0.9999964237213135
0.0004078857919782461,0.22544691775461007,0.9999963045120239
0.0004078857919782461,0.22684011145549607,0.9999961853027344
0.0004078857919782461,0.22812372812372814,0.9999960660934448
0.0004078857919782461,0.22918819072665225,0.9999959468841553
0.0004078857919782461,0.23051876898030743,0.9999958276748657
0.0004078857919782461,0.23170846247769325,0.9999957084655762
0.0004078857919782461,0.23291380983688675,0.9999955892562866
0.0004078857919782461,0.23382173382173382,0.9999954700469971
0.0004078857919782461,0.23482358097742714,0.9999953508377075
0.0004078857919782461,0.2357628126858896,0.999995231628418
0.0004078857919782461,0.23679596756519833,0.9999951124191284
0.0004078857919782461,0.23781346858269936,0.9999949932098389
0.0004078857919782461,0.2384865846404308,0.9999948740005493
0.0004078857919782461,0.23941016248708558,0.9999947547912598
0.0004078857919782461,0.2404746250900097,0.9999946355819702
0.0004078857919782461,0.2412729720422028,0.9999945163726807
0.0004078857919782461,0.2422122037506653,0.9999943971633911
0.0004078857919782461,0.24330797407720484,0.9999942779541016
0.0004078857919782461,0.24448201371278294,0.999994158744812
0.0004078857919782461,0.24523339907955294,0.9999940395355225
0.0004078857919782461,0.24614132306439998,0.9999939203262329
0.0004078857919782461,0.24679878526032373,0.9999938011169434
0.0004078857919782461,0.24753451676528598,0.9999936819076538
0.0004078857919782461,0.24850505619736388,0.9999935626983643
0.0004078857919782461,0.2492720954259416,0.9999934434890747
0.0004078857919782461,0.25022698099621177,0.9999933242797852
0.0004078857919782461,0.2510253279484049,0.9999932050704956
0.0004078857919782461,0.2518080210387903,0.999993085861206
0.0004078857919782461,0.2523872139256755,0.9999929666519165
0.0004078857919782461,0.25310729156883005,0.999992847442627
0.0004078857919782461,0.25396825396825395,0.9999927282333374
0.0004078857919782461,0.2546413700259854,0.9999926090240479
0.0004078857919782461,0.25523621677467834,0.9999924898147583
0.0004078857919782461,0.25595629441783285,0.9999923706054688
0.0004078857919782461,0.25664506433737205,0.9999922513961792
0.0004078857919782461,0.25727121880968035,0.9999921321868896
0.0004078857919782461,0.257772142387527,0.9999920129776001
0.0004078857919782461,0.2583669891362199,0.9999918937683105
0.0004078857919782461,0.2591340283647976,0.999991774559021
0.0004078857919782461,0.25985410600795217,0.9999916553497314
0.0004078857919782461,0.26041764503302967,0.9999915361404419
0.0004078857919782461,0.2608716070254532,0.9999914169311523
0.0004078857919782461,0.2612629535706459,0.9999912977218628
0.0004078857919782461,0.26193606962837734,0.9999911785125732
0.0004078857919782461,0.2624996086534548,0.9999910593032837
0.0004078857919782461,0.2630474938167246,0.9999909400939941
0.0004078857919782461,0.2637049560126483,0.9999908208847046
0.0004078857919782461,0.26420587959049496,0.999990701675415
0.0004078857919782461,0.26472245703014935,0.9999905824661255
0.0004078857919782461,0.26530164991703453,0.9999904632568359
0.0004078857919782461,0.26605303528380453,0.9999903440475464
0.0004078857919782461,0.266616574308882,0.9999902248382568
0.0004078857919782461,0.26728969036661343,0.9999901056289673
0.0004078857919782461,0.26788453711530635,0.9999899864196777
0.0004078857919782461,0.268385460693153,0.9999898672103882
0.0004078857919782461,0.26905857675088446,0.9999897480010986
0.0004078857919782461,0.26963776963776964,0.9999896287918091
0.0004078857919782461,0.27010738549200086,0.9999895095825195
0.0004078857919782461,0.2706083090698475,0.99998939037323
0.0004078857919782461,0.27118750195673275,0.9999892711639404
0.0004078857919782461,0.2717040793963871,0.9999891519546509
0.0004078857919782461,0.27209542594157976,0.9999890327453613
0.0004078857919782461,0.2724867724867725,0.9999889135360718
0.0004078857919782461,0.2729094267555806,0.9999887943267822
0.0004078857919782461,0.2733320810243887,0.9999886751174927
0.0004078857919782461,0.27383300460223536,0.9999885559082031
0.0004078857919782461,0.2743026204564666,0.9999884366989136
0.0004078857919782461,0.274709620863467,0.999988317489624
0.0004078857919782461,0.2753201214739676,0.9999881982803345
0.0004078857919782461,0.2760558529789299,0.9999880790710449
0.0004078857919782461,0.2766350458658151,0.9999879598617554
0.0004078857919782461,0.2770263924110078,0.9999878406524658
0.0004078857919782461,0.277496008265239,0.9999877214431763
0.0004078857919782461,0.27809085501393194,0.9999876022338867
0.0004078857919782461,0.27868570176262486,0.9999874830245972
0.0004078857919782461,0.27907704830781754,0.9999873638153076
0.0004078857919782461,0.2794370871293948,0.9999872446060181
0.0004078857919782461,0.27992235684543376,0.9999871253967285
0.0004078857919782461,0.2803606649760496,0.999987006187439
0.0004078857919782461,0.2807050499358192,0.9999868869781494
0.0004078857919782461,0.28111205034281955,0.9999867677688599
0.0004078857919782461,0.28172255095332016,0.9999866485595703
0.0004078857919782461,0.2820825897748975,0.9999865293502808
0.0004078857919782461,0.28261482107635955,0.9999864101409912
0.0004078857919782461,0.2831000907923985,0.9999862909317017
0.0004078857919782461,0.2834914373375912,0.9999861717224121
0.0004078857919782461,0.28380451457374534,0.9999860525131226
0.0004078857919782461,0.28418020725713034,0.999985933303833
0.0004078857919782461,0.28458720766413076,0.9999858140945435
